,title,category
0,AI 판 흔드는 ‘터보퀀트’… 한국 반도체 득될까 실될까,IT
1,"메가존클라우드, 日 아비타와 피지컬 AI 비즈니스 모델 공동개발 협력",IT
2,"KT클라우드, 자체 플랫폼 CSAP 인증 획득…공공시장 공략 본격화",IT
3,"韓 은퇴 과학자, ‘중국행’ 막는다…5년간 2억5천 연구비 지원",IT
4,"김종철 방미통위원장 ""청소년 SNS 문제, 계정삭제 규제만으로 해결 못해""",IT
5,"컴투스 신작 도원암귀·가치아쿠타, 日 게임 팬 사로잡았다",IT
6,"LG유플러스, 유심 업데이트·무상 교체 안내 본격화",IT
7,"더존비즈온, 이강수·지용구 공동대표 체제로…새 경영체제 출범",IT
8,"선임 다음날 ""나가라""… KT스카이라이프, 초유의 리더십 잔혹사",IT
9,"월드컵도 지상파에서 못보나…방미통위 ""시청권은 공적 책임""(종합)",IT
10,"[AI픽] 터보퀀트 충격…KAIST 교수 ""SW가 AI 판 바꿨다""",IT
11,"마이크론, GDDR도 쌓는다…AI 메모리 수요 다변화 대응",IT
12,"[유미's 픽] ""GPU만 사오면 끝?""…정부, 1.5만장 구축 사업서 '설계 능력' 보는 까닭",IT
13,"역재생 속 ""흥미로운 발표""...알고 보니 '백악관 앱 홍보' [앵커리포트]",IT
14,"김종철 방미통위원장 ""청소년 SNS 문제, 계정삭제 규제만으로 해결 못해""",IT
15,"韓 은퇴 과학자, ‘중국행’ 막는다…5년간 2억5천 연구비 지원",IT
16,넥슨은 왜 블리자드와 손잡았나…'오버워치'로 외연 넓힌다,IT
17,"‘제자리걸음’ 북중미 월드컵 중계권 논란, 핵심은 ‘디지털재판매’",IT
18,"'터보퀀트' 참여한 카이스트 교수 ""터보퀀트와 메모리는 함께 가는 기술""",IT
19,플랫폼 판 흔드는 크리에이터…‘확보전’ 치열,IT
20,"국방부, 국방 AX 닻 올린다…'AI 데이터센터' 구축 사업 첫발",IT
21,"리벨리온, 차세대 AI칩 '리벨 100'으로 명칭 변경...왜?",IT
22,한미반도체 TC본더 수출 V자 회복…대만행 물량 주목,IT
23,"[김영욱의 게임 후벼파기] 소규모·기술주의자 패트릭 쇠더룬드, 그가 가져올 넥슨의 변화는",IT
24,"K 통신, 경쟁 42년...AI인프라 기반 다졌다",IT
25,"2009년 금융위기보다 200원 높은 원·달러 환율…""펀더멘털 변화도 영향""",IT
26,"美압박에 '입법 난관' 온플법… ""차라리 '1% 디지털세' 걷자""",IT
27,"""샤오미, 폴더블폰 다시 꺼낸다""…갤Z폴드8과 경쟁하나",IT
28,[단독] 나무위키 본사 가보니 '텅 빈 가정집'…유령회사 논란,IT
29,[코스닥 액티브픽] 메자닌 한도 5배 확대…공격투자 기반 마련 I 비나텍②,IT
30,네이버·라인야후 6년의 동맹 ‘마침표’ 찍은 이유,IT
31,"한미반도체 곽동신 회장, 30억원 자사주 추가 매입",IT
32,주객이 전도되는 AI와 인간,IT
