,title,category
0,"이정현, 험지 출마 시사…“가장 어려운 지역에서 역할 다하겠다”",Politics
1,제주 4·3 유족 만난 李… “국가폭력범죄 공소시효·소멸시효 배제”,Politics
2,"김부겸 전 총리, 30일 대구시장 출마 공식 선언",Politics
3,1년만에 확 바뀐 통일 교육...흡수통일에서 '남북한 두 국가론' 지향 담겨,Politics
4,북 인권결의 공동제안국 참여…'원칙적 대응' 선택,Politics
5,"경찰, 국힘 조정훈 '공천 헌금 의혹' 내사… 마포갑 구의원 소환 조사",Politics
6,"민주, '대북송금' 검사 녹취 공개…""이 대통령 잡으려 진술 조작""",Politics
7,취임 300일 만에 공개된 '청와대 정식 홈피'… 국민 참여 공간 대폭 확대,Politics
8,"'25조 추경' 진통…국민의힘 ""전쟁은 핑계일 뿐"" 민주당 ""9일 처리 목표""",Politics
9,"당정, 합성수지 수출규제까지 검토…납품단가 연동제 적극 대처",Politics
10,고문경찰도 웃겠다…암장·불심검문의 나라 [한기호의 정치박박],Politics
11,"""제 전화 받아적으소"" 김부겸 공식 등판… 보수텃밭 흔들 3가지 무기",Politics
12,"李 대통령, 제주 제2공항 찬반 물으며 “잘 판단해달라”",Politics
13,"고성국 ""이정현, 전남광주 출마할 것...이정현 진정성 부정하지 말라""",Politics
14,"“이진숙, 뇌 구조 이상” 최민희에 ‘모욕죄 무혐의’",Politics
15,"[단독] 조광한 만난 이진숙 ""이정현 만나겠다""…'8인 경선' 요구",Politics
16,가난한 노인에게 지하철은 생존의 통로입니다,Politics
17,도끼·곡괭이로 배 찍으면서 기합…'차력쇼'로 도배된 北 특수부대 시범,Politics
18,"김부겸 등판에 추경호 ""정청래 야욕을 위한 호출""",Politics
19,"강찬호 ""이재명 정부, 돈 푸는 단기 처방보다 진짜 실력 보여야""[박영환의 시사1번지]",Politics
20,김부겸 출마에 대구 선거판 요동…보수 텃밭 '격전지'로(종합),Politics
21,[르포] 李대통령 지역구 인천 계양을…‘5선 당대표’ 송영길 vs ‘靑 대변인’ 김남준,Politics
22,"결선 대결 노영민·신용한, 본경선 탈락 후보에 구애 작전",Politics
23,"부엉이바위서 노무현 대통령 조롱한 청년, 국힘 오디션 최종 우승",Politics
24,"이 대통령 ""정치인, 신념·가치 실험은 옳지 않아... 다수 국민의 최대 행복 중요""",Politics
25,"李대통령 ""에너지, 잠 안 올 정도로 심각…재생에너지로 신속 전환""",Politics
26,"‘공소취소’ 갈등하던 김어준과 친명, ‘조작기소’엔 공동 전선",Politics
27,"""결국 국힘 찍는다고? 대구 자존심 상해""‥""유승민도 몰라, 마지막 기회"" [고수다]",Politics
28,"나경원 ""與, 짜깁기 녹취로 국민 속여…서민석, 청주시장 공천 받으려 폭로""",Politics
29,"4·3 박진경 대령 서훈 취소 언제…유공자 취소 심의, 반년 걸릴 수도",Politics
30,"이재명 대통령 ""오늘 결혼기념일""...제주도서 신혼여행 얘기 꺼낸 이유",Politics
31,"국힘, MB '보수 참패했다'에 ""뼈아픈 지적이라고 생각""",Politics
32,"""李 주범 회유, 박상용 검사 아닌 이화영 변호인의 싸구려 수작""",Politics
33,"이혁재, '한동훈 만세' 외친 청년에 ""내가 젊었으면 폰 던졌다""",Politics
34,"김부겸, 대구 출사표…'대북송금' 녹취록 공방",Politics
35,"25조 정부안 곧 국회로...""전쟁 추경"" VS ""매표용""",Politics
36,"[현장FACT] ""대구가 표 찍어주는 기계냐?""...'대구시장 출마' 김부겸, 국민의힘 직격 (영상)",Politics
37,"김부겸은 동진, 이정현은 서진…본진 공략 앞장서는 OB들",Politics
38,"최민희 ""이진숙 뇌 구조 이상, 빵진숙, 법카의 여왕…경찰 모욕죄 '혐의없음' 불송치""",Politics
39,정청래 따라 노량진 간 與서울시장 후보들 “내가 살게” 계산 경쟁,Politics
40,"이혁재 ""좌파였어도 그랬겠냐…'한동훈 복당' 외친 참가자에 폰 던질 뻔""",Politics
41,“종량제 봉투 부족해지면 일반 봉투 사용도 허용”,Politics
42,"박주민·정원오 신경전 계속…지도부는 ""언행 자제"" 당부",Politics
43,"“보수, 참패 인정이 먼저”…쓴소리 쏟아낸 이명박, 현 정부엔?",Politics
44,"국힘, 유승민 '불출마 변화 없다'에도 설득 총력 ""다양한 채널 노력""",Politics
45,"정현주·박미경 여수시의원 예비후보, 민주당 경선 '컷오프'에 항의",Politics
46,[연합뉴스 이 시각 헤드라인] - 14:30,Politics
47,"한동훈, ""대통령 된 다음 불리한 방송 조지면…"" 김종배 ""MBC 압수수색은?""",Politics
48,팔뚝에 도끼 내려쳤다…'차력쇼' 뺨친 北특수부대에 김정은 미소,Politics
49,"野, '박상용 녹취' 공개에…""민주당 또 공작 정치, 선거용 짜깁기""",Politics
50,국민의힘 울산 '음주 운전' 시·구의원 공천·경선 후보 결정 '논란',Politics
51,“‘경선 원칙’ 강조한 민주당”…순천만 6곳 중 4곳 단수공천 왜,Politics
52,"신정훈 “강기정과 단일화, 시대의 열망이 만난 화학적 결합”",Politics
53,"수산시장 상인들 만난 정청래 ""우리 중 누가 제일 얼굴 커요?""",Politics
54,"박원석 ""장동혁, 리더십 잃어...선거 때 극우 유튜브 찾아갈 것""",Politics
55,"이혁재, 국힘 심사위원 논란에 ""내가 좌파였어도 이랬을까""",Politics
56,"이명박 ""인정하자, 보수는 참패했다""…13년 만의 인터뷰에서 탄식",Politics
57,"이명박 ""보수, 그냥 진 게 아닌 참패 인정해야…윤석열은 이미 과거""",Politics
58,이정현 험지 출마 시사에…국힘 “삼고초려해 모실 분”,Politics
59,"나경원 ""與 공개 박상용 녹취록은 짜깁기…전체 녹취록 공개해야""",Politics
60,"[人사이더] 이준석 “미국은 반도체에 물 대줄 때, 한국은 물 빼는 꼴”",Politics
61,[단독] “中企 가느니 군복무” 박사과정 전문연구요원 신청자 4년 만에 반토막,Politics
62,"103번째 '금귀월래' 박지원 의원 ""음성이 나왔는데 조작했다고? AI가 했냐!!!""",Politics
63,"[홍성] 민주당 군수 후보, '경선 확정'… 이종화·손세희 2파전",Politics
64,"이화영 석방 위한 시민행동 ""박상용 검사 즉각 체포해야""",Politics
65,"조갑제 ""대구시장 김부겸 우세… 변수는 '주호영-한동훈' 연대""",Politics
66,"KBS 추가녹취록 공개 ""박 검사 발언 부적절"" 박상용 ""짜깁기 허위왜곡""",Politics
67,"김현정, '전쟁 추경' 골든타임 경고…""국민의힘, 언제까지 발목만 잡을 건가""",Politics
68,"최혁진, '조희대 탄핵안' 발의 초읽기... ""112명 서명 완료, 안 나가면 내쫓을 것""",Politics
69,"김동아, 박상용 검사 '이재명 주범 회유' 녹취...""정치검찰의 추잡한 거래""",Politics
70,"박상용 검사 녹취 논란…""李 잡으려 진술조작"" vs ""짜깁기""",Politics
71,"李 대통령 ""할아버지 말고 아저씨""…5세 편지에 답변 보니",Politics
72,"""들뜨면 안 돼""·""마타도어 근절""…與, '승리 낙관론' 거듭 경계",Politics
73,"“金총리, 진실과 다르게 말해” 주장한 美 공화당 원로에 반박 나선 정부",Politics
74,"'회유 녹취' 격돌…與 ""쌍방울 사건 완전조작"" vs 野 ""선동목적 증거조작""",Politics
75,5월에 '남북미' 아닌 '북중러 밀착' 2탄 연출?…中이 쥔 꽃놀이패,Politics
76,"""이재명 표적 수사 아니다"" 박상용 검사, 글 7건 연달아 올리며  '공개 반박'",Politics
77,"“韓 종교탄압” 美 MAGA 진영 목사 주장…총리실, 조목조목 반박",Politics
78,"장동혁 ""천안함 유족에 면박 준 李 대통령, 북한 눈치 살피나""",Politics
79,"“대구, 회초리 들어야”…대구시장 나선 김부겸 출사표는 ‘보수 심판론’",Politics
80,"이준석 ""반도체 혈전 속 4대강 보 해체는 자해행위""",Politics
81,오세훈 “대통령·서울시장 중 묻는다면 후자”… ‘사즉생 각오’ 승부수,Politics
82,"“李정권 추경으로 표사고, 선거 끝나면 세금폭탄” 장동혁의 말",Politics
83,거대 양당 '불붙은' 부산시장 경선... 본선 주자는?,Politics
84,민주당 통합시장 경선 3강 재편…'2차 연대 승패 가른다',Politics
85,"25조 정부안 곧 국회로...""전쟁 추경"" VS ""매표용""",Politics
86,김부겸 앞세워 동진하는 민주…노선 갈등 제자리걸음 국힘,Politics
87,與전남광주시장경선 '단일화·연대'…'민-김' 양강판세 요동치나,Politics
88,"천하람 ""녹취록에 '이화영 부당회유' 안 보여…조작기소 국조는 불법""",Politics
89,"개혁신당 “‘진술 회유’ 녹취, 민주당의 묻지마식 폭로…내용에 문제 없어”",Politics
90,"삽·곡괭이로 복근 찍고, 머리로 돌판깨고 김정은 ‘박수’…북한군 고문같은 차력쇼",Politics
91,"강·신, 신정훈으로 단일화 ... 강기정 ""신정훈 승리가 제 승리""",Politics
92,"김부겸 출사표…“대구, 국힘 버려야 보수가 산다”",Politics
93,"국힘 '험지 구인난' 현주소…이정현, 전남광주 '셀프공천' 시사",Politics
94,'3말4초' 예고 조국 고심 중…부산·경기·전북 6곳 저울질,Politics
95,"개혁신당, 박상용 녹취 공개에 ""부당한 회유 내용 안 보여""",Politics
96,"""대구가 앞장서서 국힘 버려야""…'파란 피' 김부겸, 대구시장 출사표",Politics
97,"김부겸 “지역소멸 벽 넘겠다. 대구, 국힘 버려야” 대구시장 출마",Politics
98,"정청래, ‘진술 회유 의혹’ 녹취에 “조작 기소 사실이구나 생각”",Politics
99,"한동훈 ""李 대통령, 계산은 정확히…청담동·백해룡 가짜뉴스 사과해야""",Politics
100,李 “할아버지 말고 아저씨라 불러주면 좋겠다” 무슨 일?,Politics
101,"與 ""쌍방울 사건 하나부터 열까지 조작…수사팀 증언대 세울것""",Politics
102,"민형배 일부 지지자들, 신정훈·강기정 단일화에 辛 지지 '논란'(종합)",Politics
103,"조갑제 ""국민의힘 1대1로 붙어도 김부겸 전 총리 유리···이번 공천은 '한동훈 공포증'""",Politics
104,대구 최대 '격전지' 부상…김부겸 출마 선언,Politics
