,title,category
0,"트럼프 ""이란과 협상 잘하고 있다…조기 합의 기대""",World
1,"中 “시진핑, 대만 국민당 주석 4월 7∼12일 방중 초청”",World
2,파키스탄서 이슬람 4개국 외무장관 회담…호르무즈 재개방 논의,World
3,"네타냐후 ""레바논에 완충지대 확장하도록 지시""",World
4,중국 에어차이나 북한 직항편 6년 만에 이륙…평양서 중국 대사가 승객 맞이,World
5,"끈끈한 美日동맹에 이란 관계도 우호적...다카이치, 이란과 정상회담 가능성에 “국익 근거해 종합 판단”",World
6,“홍콩 방문·경유 외국인도 휴대폰 비번 경찰에 제공”…홍콩판 국보법,World
7,美 상륙작전? 호르무즈 해협 이란의 ‘가라앉지 않는 항공모함’ 7개섬 초점,World
8,“제발 그만” 전세계가 외치는데…트럼프 “다음은 쿠바” 또 공격 시사,World
9,"타격 입은 이란...""그래도 몇 주 동안 공격 가능""",World
10,"이란전쟁 한달, 트럼프 진퇴양난…'최악 아니면 차악' 끔찍한 기로",World
11,국채 금리 뛰고 주가는 하락…커지는 'S 불안'(종합),World
12,"日닛케이지수, 2.79% 하락 마감…'다카이치 트레이드' 상승분 반납",World
13,“SNS가 괴롭다” 日 Z세대 확산 ‘어텐션 디톡스’란,World
14,"""다음은 쿠바""…트럼프, 이란 이어 다음 표적 지목",World
15,트럼프 “이란과 조기 합의 가능”…‘하르그섬 점령 압박’도 병행,World
16,"이란, 호르무즈 '통행료 카드'…월 최대 8억달러 노린다",World
17,"""이란 탄도미사일 제조시설 4곳 전쟁 한달 동안 타격""",World
18,"'냉온탕' 트럼프에 요동치는 국제유가…""이란과 곧 합의"" 진실은?",World
19,"""전쟁 한 달 동안 이란 탄도 미사일 제조 시설 4곳 타격""",World
20,"이스라엘군, 레바논 내 ""보안구역 더욱 확대""…점령 장기화하나",World
21,"“첫 실전 美 신형미사일, 이란 여자배구 훈련장 강타” …‘게임 체인저’의 두 얼굴 (영상) [배틀라인]",World
22,"美지상군 투입? 15만 이란 정규군 배수진…미국, 또 중동 늪 빠지나",World
23,정부 쫓아내고 수도 차지한 '후티' 반군…이란전쟁 변수되나[글로벌키맨],World
24,"""이란 민간시설에 떨어진 미군 미사일, 첫 투입된 신형미사일""",World
25,"WP ""전쟁 한달간 이란 탄도미사일 제조시설 4곳 타격""",World
26,협상? 지상군 투입?…보도마다 엇갈리는 이란戰 전망,World
27,"이란, 전쟁통에 두배 더 벌었다…“작년보다 더 원유수출”",World
28,"""전쟁 한달간 이란 탄도미사일 제조시설 4곳 타격""",World
29,"너무 세게 맞았다, 하지만 돈은 벌었다…""이란 전쟁 자금, 아시아 깊은 곳에""",World
30,'평화 회담' 기대 속 공방 격화...최대 국방예산 통과,World
31,"쿠바 원유 공급줄 끊었던 미국, 러 제재 유조선 입항 허용",World
32,이란戰에 긴장하는 아프리카…지부티 미군기지 타격 가능성,World
33,"""조기경보통제기 깨졌죠? 러시아 위성이 찍었잖아""…잊힐까 두려운 젤렌스키의 고자질",World
34,"전쟁 5주째, 홍해 리스크 확산…브렌트유 115달러·亞증시 타격(종합)",World
35,"비싼 물가·세금 폭탄 피해 ‘탈뉴욕’… 짐 싸는 월가 거물들, 선벨트로 남하",World
36,"이란 배후는 러시아?…젤렌스키, 중동 파고들며 ‘군사적 밀착’ 주장하는 이유 [핫이슈]",World
37,"[영상] '핵시설 연쇄피격' 이란, UAE 알루미늄 생산시설 등 보복공격",World
38,러시아 도발? 강온 전략?…쿠바에 유조선 허용한 美 속셈은,World
39,"對쿠바 석유 공급 차단한 美, 러 유조선 쿠바행 용인",World
